gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
bi'zhi'lv 比之旅：松柏栋梁，相辅为强；八哲五教，王室康宁。
bi'zhi'xun 比之巽：雀行求食，暮归孚乳；反其屋室，安宁如故。
bi'zhi'dui 比之兑：四尾六头，为凶作妖；阴不奉阳，上失其明。
bi'zhi'huan 比之涣：一衣三阙，结缉不便；歧道异路，日暮不到。
bi'zhi'jie 比之节：牙蘖生齿，室当启户；幽人利贞，鼓翼起舞。
bi'zhi'zhong'fu 比之中孚：春鸿飞东，以马质金；利得十倍，重载归乡。
bi'zhi'xiao'guo 比之小过：欢悦以喜，子孙俱在；守发能忍，不见殃咎。
bi'zhi'ji'ji 比之既济：精神消落，形骸丑恶；龉齚顿挫，枯槁腐蠹。
bi'zhi'wei'ji 比之未济：登高上山，见王自言；申理我冤，得职蒙恩。
xiao'xu'zhi'xiao'xu 小畜之小畜：白鸟衘饵，鸣呼其子；斡枝张翅，来从其母；伯仲叔季，元贺举手。
xiao'xu'zhi'gan 小畜之乾：东遇虎地，牛马奔惊；道绝不通，南困无功。
xiao'xu'zhi'kun 小畜之坤：子锄执麟，《春秋》作元；阴将以终，尼父悲心。
xiao'xu'zhi'tun 小畜之屯：取火泉源，钓鱼山颠；鱼不可得，火不可然。
xiao'xu'zhi'meng 小畜之蒙：机关不便，不能出言；精诚不通，为人所冤。
xiao'xu'zhi'xu 小畜之需：故室旧庐，稍弊且徐；不如新巢，可治乐居。
xiao'xu'zhi'song 小畜之讼：蜲蛇循流，东求大鱼；预且举网，庖人歌讴。
xiao'xu'zhi'shi 小畜之师：凿山通道，南至嘉国；周公祝祖，襄适荆楚。
xiao'xu'zhi'bi 小畜之比：鹊近却缩，不见头目；日以困急，不能自复。
xiao'xu'zhi'lv 小畜之履：五舌啄难，各自有言；异国殊俗，使心迷惑，所求不得。
xiao'xu'zhi'tai 小畜之泰：天门开辟，牢户寥廓；桎梏解脱，拘囚纵释。
xiao'xu'zhi'pi 小畜之否：坚冰黄鸟，常哀愁悲；数惊鸷鸟，雏为我忧。
xiao'xu'zhi'tong'ren 小畜之同人：日走月步，趣不同舍；夫妻反目，主君失居。
xiao'xu'zhi'da'you 小畜之大有：金牙铁齿，西王母子。无有患殃。扶舍陟道，到来不久。
xiao'xu'zhi'qian 小畜之谦：式微式微，忧祸相半；隔以岩山，室家分散。
xiao'xu'zhi'yu 小畜之豫：众神集聚，相与议语；南国虚乱，百姓劳苦；兴师征伐，更立贤主。
xiao'xu'zhi'sui 小畜之随：虎狼争食，礼义不行；兼吞其国，齐鲁无主。
xiao'xu'zhi'gu 小畜之蛊：寄生无根，如过浮云；本立不固，斯须落去，更为枯树。
xiao'xu'zhi'lin 小畜之临：子啼索哺，母行求食；反见空巢，长息訾弋。
xiao'xu'zhi'guan 小畜之观：驾驷逐狐，轮挂荆棘；车不结辙，公子无得。
xiao'xu'zhi'ke'shi 小畜之噬嗑：方啄广口，仁智圣厚；释解倒悬，唐国太安。
xiao'xu'zhi'ben 小畜之贲：驾福乘喜，来至家国；戴庆南行，离我安居。
xiao'xu'zhi'bo 小畜之剥：孔鲤伯鱼，北至高奴；木马金车，驾游大都；王母送我，来牝字驹。
xiao'xu'zhi'fu 小畜之复：三足无头，不知所之；心狂精伤，莫使为明，不见日光。
xiao'xu'zhi'wu'wang 小畜之无妄：騋牝龙身，日驭三千，南止苍梧，与福为婚。道里夷易，安全无忌。
xiao'xu'zhi'da'xu 小畜之大畜：辰次降娄，王驾巡时；广佑施惠，安国无忧。
xiao'xu'zhi'yi 小畜之颐：望幸不到，文章未就；王子逐走，马骑衔伤；昳迹不得，曷其有常。
xiao'xu'zhi'da'guo 小畜之大过：中原有菽，以待饔食；饮御诸友，所求大得。
xiao'xu'zhi'kan 小畜之坎：乱茅缩酒，灵巫拜祷；神怒不许，瘁愁忧苦。
xiao'xu'zhi'li 小畜之离：李华再实，鸿卵降集；仁哲以兴，荫国受福。
xiao'xu'zhi'xian 小畜之咸：源出陵足，行于山趾；不为暴害，民得安居。
xiao'xu'zhi'heng 小畜之恒：客入其门，奔走东西；童女不织，士弃耕亩；暴骨千里，岁寒无年。
xiao'xu'zhi'dun 小畜之遯：天之所予，福禄常在；以永康宁，不忧危殆。
xiao'xu'zhi'da'zhaung 小畜之大壮：蝗食我稻，驱不可去；实穗无有，但见空藁。
xiao'xu'zhi'jin 小畜之晋：牛骥同堂，郭氏已亡；国破空虚，君奔走逃。
xiao'xu'zhi'ming'yi 小畜之明夷：狗无前足，阴谋其北；为身贼害，何以安息。
xiao'xu'zhi'jia'ren 小畜之家人：两轮自转，南上大阪；四马共辕，无有重难；与禹笑言。鹤鸣窍穴，不离其室。
xiao'xu'zhi'kui 小畜之睽：芽孽生达，阳昌于外；左手执龠，公言锡爵。
xiao'xu'zhi'jian 小畜之蹇：秋花冬萼，数被严霜；甲兵当庭，万物不生；雄犬夜鸣，民扰大惊。
xiao'xu'zhi'jie 小畜之解：霜降闭户，蛰虫隐处；不见日月，与死为伍。
xiao'xu'zhi'sun 小畜之损：身载百里，功加四海；为文开基，武立大柱。
xiao'xu'zhi'yi 小畜之益：禹作神鼎，伯益衘指；斧斤高阁，憧位独坐；卖庸不售，苦困为祸。
xiao'xu'zhi'kuai 小畜之夬：福祚之家，喜至忧除；如风兼雨，出车入鱼。
xiao'xu'zhi'gou 小畜之姤：苍龙隐伏，麟凤远匿；寇来同处，未得安息。
Xiao'xu'zhi'sheng 小畜之升：白鹤???珠，夜食为明；怀安德音，身受光荣。
xiao'xu'zhi'cui 小畜之萃：旦生夕死，名曰婴鬼，不可得视。
xiao'xu'zhi'kun 小畜之困：行役未已，新事复起；姬姜劳苦，不得休息。
xiao'xu'zhi'jing 小畜之井：忧患解除，喜至庆来；坐立欢忻，与乐为邻。
xiao'xu'zhi'ge 小畜之革：晨风之翰，大举就温；昧过我邑，羿无所得。
xiao'xu'zhi'ding 小畜之鼎：下田稷黍，芳华生齿；大雨集降，纷涝满瓮。
xiao'xu'zhi'zhen 小畜之震：君子碌碌，鸟庇茂木。见春百谷，心劳愿德。
xiao'xu'zhi'gen 小畜之艮：折臂踒足，不能进酒；祠祀阔旷，神怒不喜。
xiao'xu'zhi'jian 小畜之渐：学灵三年，圣且神明；光见善祥，吉喜福庆；鸣鸠飞来，告我无忧。
xiao'xu'zhi'gui'mei 小畜之归妹：三妇同夫，志不相思；心怀不平，志常愁悲。
xiao'xu'zhi'feng 小畜之丰：中田膏黍，以享王母；受福千亿，所求大得。
xiao'xu'zhi'lv 小畜之旅：阳火不灾，喜至庆来；降福送喜，鼓琴歌讴。
xiao'xu'zhi'dui 小畜之兑：阳明不息，君无恩德；伯氏失利，农丧其力。
xiao'xu'zhi'xun 小畜之巽：燕雀衘茅，以生孚乳；兄弟六人，姣好孝悌；各得其愿，和悦相乐。
xiao'xu'zhi'huan 小畜之涣：鹑尾奔奔，火中成军；虢叔出奔，下失其君。
xiao'xu'zhi'jie 小畜之节：两人相距，止不同舍；夫妻离散，卫侯失居。
xiao'xu'zhi'zhong'fu 小畜之中孚：魃为燔虐，风吹云却；欲上不得，反归其宅。
xiao'xu'zhi'xiao'guo 小畜之小过：关雎淑女，配我君子；少妻在门，君子嘉喜。
xiao'xu'zhi'ji'ji 小畜之既济：慈母赤子，飨赐得士；夷狄服除，以安王家。
xiao'xu'zhi'wei'ji 小畜之未济：三足孤乌，灵鸣督卸，思过罚恶，自贼其家。
lv'zhi'lv 履之履：十乌俱飞，羿得九雌；虽得淂全，且惊不危。
lv'zhi'gan 履之乾：东向藩垣，相与笑言；子般执鞭，圉人作患。
lv'zhi'kun 履之坤：循河樀舟，旁淮东游；渔父举网，先得大鰌。
lv'zhi'tun 履之屯：辕折轮破，马倚仆卧，后旅先宿，右足跌踒。
lv'zhi'meng 履之蒙：两人相绊，相与悖戾；心不同争，讼忷忷然。
lv'zhi'xu 履之需：北辰紫宫，衣冠立中；含和建德，常受天福。
lv'zhi'song 履之讼：游居石门，禄身安全；受福西邻，归饮玉泉。
lv'zhi'shi 履之师：羊肠九萦，相推并前；止须王孙，乃能上天。
lv'zhi'bi 履之比：争讼相倍，和气不处；阴阳俱否，谷风母子。
lv'zhi'xiao'xu 履之小畜：郭叔距颐，为棘所拘；龙额重颡。祸不成殃，复归其乡。
lv'zhi'tai 履之泰：虿室蜂户，螫我手足；不得进止，为吾害咎。
lv'zhi'pi 履之否：怒非其怨，因拘有迁；贪妬腐鼠，而呼鴞鸢，失反被困。
lv'zhi'tong'ren 履之同人：婴孩求乳，母归其子；黄麑悦喜，自乐甘饵。
lv'zhi'da'you 履之大有：针镂胜服，锦绣不成；鹰逐雉兔，爪折不得。
lv'zhi'qian 履之谦：雨潦集降，河梁不通；邹鲁闭塞，破费市空。
lv'zhi'yu 履之豫：封豕沟渎，水潦空谷；客止舍宿，泥涂至腹。处无黍稷。
lv'zhi'sui 履之随：三奸相扰，桀跖为交；上下骚离，隔绝天道。
lv'zhi'gu 履之蛊：齐景惑疑，为孺子牛；嫡庶不明，贼孽为患。
lv'zhi'lin 履之临：三羊俱亡，走奔南行；会暮失迹，不知所藏。
lv'zhi'guan 履之观：请伯行贾。代山之野，夜历险阻；不逢危殆，利如浇酒。
lv'zhi'ke'shi 履之噬嗑：桑之将落，殒其黄叶；失势倾侧，而无所立。
lv'zhi'ben 履之贲：上山求鱼，入水捕狸；市非其归，自令久留。
lv'zhi'bo 履之剥：名成德就，项领不试；景公耋老，尼父逝去。
lv'zhi'fu 履之复：天之奥隅，尧舜所居；以存保身，为我国家。
lv'zhi'wu'wang 履之无妄：雎鸠淑女，贤圣配偶；宜家寿福，吉庆长久。
lv'zhi'da'xu 履之大畜：两人俱争，莫能有定；心乖不同，讼言起凶。
lv'zhi'yi 履之颐：涉伯徇名，弃礼诛身；不得其道，成子奔燕。
lv'zhi'da'guo 履之大过：逾江求橘，并得大栗；烹羊食肉，饮酒歌笑。
lv'zhi'kan 履之坎：山险难升，涧中多石；车驰轊击，重伤载轴；担负善踬，跌踒右足。
lv'zhi'li 履之离：元利孔福，神所子畜；般乐无苦，得其欢欲。
lv'zhi'xian 履之咸：乌鹊食谷，张口受哺；蒙被恩福，长大成就；柔顺利贞，君臣合好。
lv'zhi'heng 履之恒：潼滃蔚荟，肤寸来会；津液下降，流潦滂沛。
lv'zhi'dun 履之遯：路多枳棘，步刺我足；不利旅客，为心作毒。
lv'zhi'da'zhaung 履之大壮：虺蝮所聚，难以居处；毒螫痛甚，疮不可愈。
lv'zhi'jin 履之晋：麟凤相随，观察安危；东郭圣人，后稷周公；共和政令，君子攸同；利以居止，长无忧凶。
lv'zhi'ming'yi 履之明夷：筑乱不时，使民恨忧；立祉为笑，君危臣骚。
lv'zhi'jia'ren 履之家人：黄帝所生，伏羲之宅；兵刃不至，利以居止。
lv'zhi'kui 履之睽：雀行求食，暮归屋宿；反其室舍，安宁无故。
lv'zhi'jian 履之蹇：太仓积谷，天下饶食；阴阳调和，年岁时熟。
lv'zhi'jie 履之解：竿旄旗旌，执帜在郊；虽有宝珠，无路致之。
lv'zhi'sun 履之损：履机蹈颠，坠入寒渊；行不能前，足矮不便。
Lv'zhi'yi 履之益：???命止车，和合两家；蛾眉皓齿，二国率僵。
lv'zhi'kuai 履之夬：吉日车攻，田弋获禽；宣王饮酒，以告嘉功。
lv'zhi'gou 履之姤：重伯黄宝，宜以我市；嫁娶有恩，利得过母。
lv'zhi'cui 履之萃：延颈望酒，不入我口；深以自喜，利得无有。
lv'zhi'sheng 履之升：牧为代守，飨食甘赐；得吏士意，战大破胡，长安国家。
lv'zhi'kun 履之困：日出温谷，临照万国；高明淑仁，虞夏配德。
lv'zhi'jing 履之井：逐兔索乌，破我弓车；日暮不及，失利后时。
lv'zhi'ge 履之革：譌言妄语，传相诖误；道左失迹，不知所处。
lv'zhi'ding 履之鼎：履虎蹑蛇，贬损我威；君子失车，去其国家。
lv'zhi'zhen 履之震：本根不固，花叶落去；更为孤妪，不得相亲。
lv'zhi'gen 履之艮：五轭四軏，优得饶有；陈力就列，驺虞喜悦。
lv'zhi'jian 履之渐：黄帝紫云，圣且神明；光见福祥，告我无殃。
lv'zhi'gui'mei 履之归妹：五利四福，俱佃高邑；黍稷盛茂，多获藁稻。
lv'zhi'feng 履之丰：群虎入邑，求索肉食；大人卫守，君不失国。
lv'zhi'lv 履之旅：乌子鹊雏，常与母居；愿慕群侣，不离其巢。
lv'zhi'xun 履之巽：蹇驴不材，骏骥失时；筋劳力尽，罢于沙丘。
lv'zhi'dui 履之兑：玄鬣黑颡，东归高乡；朱鸟道引，灵龟载庄；遂抵天门，见我贞君。
lv'zhi'huan 履之涣：探巢得雏，鸠鹊来俱，使我音娱。
lv'zhi'jie 履之节：安上宜官，一日九迁；升擢超等，牧养常山。君臣获安。
lv'zhi'zhong'fu 履之中孚：大头目明，载受嘉福；三雀飞来，与禄相得。
lv'zhi'xiao'guo 履之小过：远视千里，不见黑子；离娄之明，无益于光。
lv'zhi'ji'ji 履之既济：三女为奸，俱游高园；倍室夜行，与伯笑言。不忍主母，失礼酒冤，皇天谁告？
lv'zhi'wei'ji 履之未济：日辰不和，强弱相振，一雌两雄，客胜主人。
tai'zhi'tai 泰之泰：求玉陈国，留连东域；须我王孙，四月来复；主君有德，蒙恩受福。
tai'zhi'qian泰之乾：伯夷叔齐，贞廉之师；以德防患，忧祸不存。
tai'zhi'kun 泰之坤：济深难渡，濡我衣袴；五子善棹，脱无他故。
tai'zhi'tun 泰之屯：倚立相望，适得道通。驱驾奔驰，比目同床。
tai'zhi'meng 泰之蒙：葛藟蒙棘，花不得实；谗佞为政，使恩壅塞。
tai'zhi'xu 泰之需：四足无角，君子所服；南征述职，与福相得。
tai'zhi'song 泰之讼：踝踵之伤，左指病痈；失旅后时，利走不来。
tai'zhi'shi 泰之师：春城夏国，生长之域；可以服食，保全家国。
tai'zhi'bi 泰之比：望骥不来，驹蹇为忧；雨惊我心，风撼我肌。
tai'zhi'xiao'xu 泰之小畜：久客无床，思归我乡；雷雨涌盈，道不得通。
tai'zhi'lv 泰之履：舫船备水，旁可燃火；积善有徵，终身无祸。
tai'zhi'pi 泰之否：陟岵望母，役事未已；王政无盬，不得相保。
tai'zhi'tong'ren 泰之同人：多载重负，捐弃于野；予母谁子，但自劳苦。
tai'zhi'da'you 泰之大有：生直地乳，上皇大喜；赐我福祉，受命无极。
tai'zhi'qian 泰之谦：翕翕??，稍堕山颠；灭其令名，长没不全。
tai'zhi'yu 泰之豫：东邻嫁女，为王妃后；庄公筑馆，以尊王母；归于京师，季姜悦喜。
tai'zhi'sui 泰之随：伯虎仲熊，德义渊闳；使布五谷，阴阳顺叙。
tai'zhi'gu 泰之蛊：敏捷敬疾，如猨升木；彤弓虽调，终不能获。
tai'zhi'lin 泰之临：举被覆目，不见日月；衣裘簟床，就长夜室。
tai'zhi'guan 泰之观：忍丑少羞，无面有头；虚日以弊，消寡耗减。
tai'zhi'ke'shi 泰之噬嗑：涸阴冱寒，常冰不温；令人堕怠，雹大为灾。
tai'zhi'ben 泰之贲：夏麦麸?，霜击其芒；疾君败国，使民夭伤。
tai'zhi'bo 泰之剥：渊涸龙忧，箕子为奴；午叔陨命，殷破其家。
tai'zhi'fu 泰之复：跛踦相随，日暮牛罢；陵迟后旅，失利亡雌。
tai'zhi'wu'wang 泰之无妄：桑之将落，陨其黄叶；失势倾侧，如无所立。
tai'zhi'da'xu 泰之大畜：生长以时，长育根本；阴阳和德，岁乐无忧。
tai'zhi'yi 泰之颐：童女无夫，未有匹配；阴阳不和，空坐独宿。
tai'zhi'da'guo 泰之大过：春令原宥，仁德不合；三圣攸同，周国茂兴。
tai'zhi'kan 泰之坎：金精耀怒，带剑过午；两虎相距，虽惊无咎。
tai'zhi'li 泰之离：危坐至暮，请求不得；膏泽不降，政戾民忒。
tai'zhi'xian 泰之咸：老杨日衰，条多枯枝；爵级不进，日下摧隤。
tai'zhi'heng 泰之恒：蔡侯适楚，留连江滨；逾时历月，思其君后。
tai'zhi'dun 泰之遯：右抚剑头，左受钩带；凶讼不止，相与争戾。失利市肆。
tai'zhi'da'zhaung 泰之大壮：水流趋下，远至东海；求我所有，买鲔与鲤。
tai'zhi'jin 泰之晋：登几上舆，驾驷南游；合纵散衡，燕秦以强。
tai'zhi'ming'yi 泰之明夷：求兔得獐，过其所望；欢以相迎，高位夷伤。
tai'zhi'jia'ren 泰之家人：过时不归，道远且迷；旅人心悲，使我徘徊。
tai'zhi'kui 泰之睽：魂孤无室，衘指含食；盗张民馈，见敌失肉。
tai'zhi'jian 泰之蹇：居如转丸，危不得安；东西不宁，动生忧患。
tai'zhi'jie 泰之解：坤厚地德，庶物蕃息；平康正直，以绥大福。
tai'zhi'sun 泰之损：挒蔽牡荆，生贤山傍；仇敌背憎，孰肯相迎？
tai'zhi'yi 泰之益：凤凰衘书，赐我玄圭，封为晋侯。
tai'zhi'kuai 泰之夬：作凶不善，相牵入井；溺陷辜罪，祸至忧有。
tai'zhi'gou 泰之姤：悲鸣北行，失其长兄；伯仲不幸，骸骨散亡。
tai'zhi'cui 泰之萃：羔衣豹裘，高易我家；君子维好。
tai'zhi'sheng 泰之升：日中为市，各抱所有；交易资货，贪珠怀宝。心悦欢喜。
tai'zhi'kun 泰之困：振急绝理，常阳不雨；物病焦乾，华实无有。
tai'zhi'jing 泰之井：狐貉载剥，徙温厚蓐；寒棘为疾，有所不足。
tai'zhi'ge 泰之革：履践危难，脱执去患；入福喜门，见诲大君。
tai'zhi'ding 泰之鼎：四乱不安，东西为患；退止我足，毋出国城；乃得全完，赖其生福。
tai'zhi'zhen 泰之震：南国少子，才略美好；求我长女，贱薄不与；反得丑恶，后乃大悔。
tai'zhi'gen 泰之艮：妄怒失理，阳孤无辅；物病焦枯，年饥于黍。
tai'zhi'jian 泰之渐：倬然远咎，避患害早；田获三狐，见民为宝。
tai'zhi'gui'mei 泰之归妹：逐鹿山巅，利去我西；维邪南北，无所不得。
tai'zhi'feng 泰之丰：龙蛇所聚，大水来处；滑滑泲泲，使我无赖。
tai'zhi'lv 泰之旅：从风吹火，牵骐骥尾；易为功力，因催受福。
tai'zhi'xun 泰之巽：泽狗水凫，难畜少雏；不为家饶，心其函逋。
tai'zhi'dui 泰之兑：水坏我里，东流为海；龟凫欢嚣，不覩慈母。
tai'zhi'huan 泰之涣：褰衣涉行，水深渍多；赖幸舟子，济脱无他。
tai'zhi'jie 泰之节：龟厌河海，陆行不止；自令枯槁，失其都市；忧悔为咎，亦无及已。
tai'zhi'zhong'fu 泰之中孚：同本异业，乐仁政德；东邻慕义，来兴我国。
tai'zhi'xiao'guo 泰之小过：桃李花实，累累日息；长大成熟，甘美可食，为我利福。
tai'zhi'ji'ji 泰之既济：重瞳四乳，聪明顺理；无隐不形，微视千里；灾害不作，君子集聚。
tai'zhi'wei'ji 泰之未济：实沈参墟，以义讨尤；次止结盟，以成霸功。
pi'zhi'pi 否之否：秦为虎狼，与晋争强；并吞其国，号曰始皇。
pi'zhi'gan 否之乾：天之奥府，众利所聚；可以饶有，乐我君子。
pi'zhi'kun 否之坤：天之所灾，凶不可居；转徙获福，留止危忧。
pi'zhi'tun 否之屯：名成德就，项领不试；景公耋老，尼父逝去。
pi'zhi'meng 否之蒙：特善避患，福禄常存；虽有豺虎，不能危患。
pi'zhi'xu 否之需：避患东西，反入祸门；糠糟不属，忧动我心。
pi'zhi'song 否之讼：圭璧琮璋，执贽见王；百里甯越，应聘齐秦。
pi'zhi'shi 否之师：扬水潜凿，使君洁白；衣素朱表，游戏皋沃；得君所愿，心志娱乐。
pi'zhi'bi 否之比：官爵相保，居之无咎；求免不得，怕使恨悔。
pi'zhi'xiao'xu 否之小畜：载元无褌，裸裎出门；小儿作笑，君为忧患。
pi'zhi'lv 否之履：把珠入口，为我利宝；得吾所有，欣然嘉喜。
pi'zhi'tai 否之泰：行不如还，直不如屈；进不若退，可以安吉。
pi'zhi'tong'ren 否之同人：众鬼凡聚，还生大怪，九身无头；魂惊魄去，不可以居。
pi'zhi'da'you 否之大有：家给人足，颂声并作；四夷宾服，干戈囊阁。
pi'zhi'qian 否之谦：人面鬼口，长舌为斧；斫破瑚琏，殷商绝祀。
pi'zhi'yu 否之豫：南山之峻，真人所在；德配唐虞；天命为子；保佑饮享，身受大庆。
pi'zhi'sui 否之随：春桃生花，季女宜家；受福多年，男为邦君。
pi'zhi'gu 否之蛊：鸱鴞破斧，冲人危殆；赖其忠德，转祸为福，倾危复立。
pi'zhi'lin 否之临：猿堕高木，不踒手足；保我金玉，还归其室。
pi'zhi'guan 否之观：天之奥隅，尧舜所居；可以存身，保我邦家。
pi'zhi'ke'shi 否之噬嗑：伯蹇叔盲，足病难行；终日至暮，不离其乡。
pi'zhi'ben 否之贲：日月相望，光明盛昌；三圣茂功，仁德大隆。
pi'zhi'bo 否之剥：桃李花实，累累日息；长大成就，甘美可食。
pi'zhi'fu 否之复：入和出明，动作有光；运转休息，动作尤康。
pi'zhi'wu'wang 否之无妄：阴冥老极，阳建其德；履离载光，天下昭明；功业不长，虾蟆代王。
pi'zhi'da'xu 否之大畜：行役未已，新事复起；姬姜劳苦，不得休息。
pi'zhi'yi 否之颐：狐鸣苑北，饥无所食；困于空丘，莫与同力。
pi'zhi'da'guo 否之大过：雄圣伏名，人匿麟远；走凤飞北，扰乱未息。
pi'zhi'kan 否之坎：病贫望幸，使伯行贩；开牢择羊，多得大牂。
Pi'zhi'li 否之离：翕翕??????，稍稍崩颠；灭其令名，长没不存。
pi'zhi'xian 否之咸：花薄实槁，衣弊如络。女功不成，丝布如玉。
pi'zhi'heng 否之恒：温山松柏，常茂不落；鸾凤所止，得以欢乐。
pi'zhi'dun 否之遯：失恃母友，嘉偶出走；玃如失兔，傫如虐狗。
pi'zhi'da'zhaung 否之大壮：太乙驾骝，从天上求；徵我叔季，封为鲁侯。
pi'zhi'jin 否之晋：双凫俱飞，欲归稻池；径涉雚泽，为矢所射，伤我胸臆。
pi'zhi'ming'yi 否之明夷：深坑复平，天下安宁；意娱心乐，赖福长生。
pi'zhi'jia'ren 否之家人：俱为天民，云过吾西；风伯雨师，与我无恩。
pi'zhi'kui 否之睽：野鸟山鹊，来集六博；三鸟四散，主人胜客。
pi'zhi'jian 否之蹇：北阴司寒，坚冰不温；凌人情怠，大雹为灾。
pi'zhi'jie 否之解：伊尹致仕，去桀耕野；执顺以传，反和无咎。
pi'zhi'sun 否之损：北风牵手，相从笑语；伯歌季舞，宴乐以喜。
pi'zhi'yi 否之益：从巢去家，南过白马；东西受福，与母相得。
pi'zhi'kuai 否之夬：鸟飞跌跛，两两相和；不病四支，但去莫疑。
pi'zhi'gou 否之姤：三年生驹，以戌为母；荆夷上侵，姬伯出走。
pi'zhi'cui 否之萃：破筐敝筥，弃捐于道；坏落穿败，不复为宝。
pi'zhi'sheng 否之升：结纽得解，忧不为祸；食利供家，受福安坐。
pi'zhi'kun 否之困：白日阳光，雷车避藏；云雨不行，各自止乡。
pi'zhi'jing 否之井：杜口结舌，心中怫郁；凶灾生患，无所告冤。
pi'zhi'ge 否之革：赍贝赎狸，不听我辞；系于虎髯，牵不得来。
pi'zhi'ding 否之鼎：持鹤抱子，见蛇何咎；室家俱在，不失其所。
pi'zhi'zhen 否之震：逐兔山西，利走入门；赖我仁德，获为我福。
pi'zhi'gen 否之艮：兴役不休，与民争时；牛生五趾，行危为忧。
pi'zhi'jian 否之渐：春粟夏梨，少鲜希有；斗千石万，贵不可贩。
pi'zhi'gui'mei 否之归妹：悲号北行，失其长兄；伯仲不幸，骸骨散亡。
pi'zhi'feng 否之丰：赋敛重数，政为民贼；杼轴空尽，家去其室。
pi'zhi'lv 否之旅：履服白缟，殃咎并到，忧不敢笑。
pi'zhi'dui 否之兑：免冠进贤，步行出朝；门体不正，贼孽为患。
pi'zhi'xun 否之巽：杜口结舌，言为祸母；代伯受患，无所祷冤。
pi'zhi'huan 否之涣：娶于姜女，驾迎新妇；少齐在门，夫子悦喜。
pi'zhi'jie 否之节：牧羊稻园，闻虎喧嚾；思恐悚息，终无祸患。
pi'zhi'zhong'fu 否之中孚：老妾据机，纬绝不知；女功不成，冬寒无衣。
pi'zhi'xiao'guo 否之小过：乘龙吐光，使阴复明，燎猎载圣，六师以昌。
pi'zhi'ji'ji 否之既济：东邻嫁女，为王妃后；庄公筑馆，以尊主母；归于京师，季姜悦喜。
pi'zhi'wei'ji 否之未济：灌鴶东从，道顿跌跱；日食不退，病为身祸。
tong'ren'zhi'tong'ren 同人之同人：密橐山巅，销锋铸刃；示不复用，天下大劝。
tong'ren'zhi'gan 同人之乾：一臂六手，不便于口；莫肯与用，利弃我走。
tong'ren'zhi'kun 同人之坤：獐鹿逐牧，饱归其居。安宁无悔。
tong'ren'zhi'tun 同人之屯：鸿鱼逆流，至人潜渚；蓬蒿代柱，大屋颠倒。
tong'ren'zhi'meng 同人之蒙：三羖五牂，相随俱行；迷入空泽，经涉六驳，为所伤贼。
tong'ren'zhi'xu 同人之需：黄帝出游，驾龙乘马；东上太山，南过齐鲁。邦国咸喜。
tong'ren'zhi'song 同人之讼：履危不安，心欲东西；步走逐鹿，空无所得。
tong'ren'zhi'shi 同人之师：望尚阿衡，太宰周公；藩屏汤武，立为侯王。
tong'ren'zhi'bi 同人之比：白龙黑虎，起伏俱怒，战于阪兆；蚩尤走败，死于鲁首。
tong'ren'zhi'xiao'xu 同人之小畜：载石上山，步跌不前；频眉之忧，不得所欢。
tong'ren'zhi'lv 同人之履：周德既成，杼轴不倾；申酉趺暮，耋老衰去，箴石不佑。
tong'ren'zhi'tai 同人之泰：乘云带雨，与飞鸟俱；动举千里，见我慈母。
tong'ren'zhi'pi 同人之否：赍贝赎狸，不听我辞；系我虎须，牵不得来。
tong'ren'zhi'da'you 同人之大有：三翼飞来，是我逢时；俱行先至，多得大利。
tong'ren'zhi'qian 同人之谦：两足四翼，飞入家国；宁我伯子，与母相得。
tong'ren'zhi'yu 同人之豫：按民呼池，玉杯文案；鱼如白云，一国获愿。
tong'ren'zhi'sui 同人之随：季姬踟蹰，望我城隅；终日至暮，不见齐侯。君上无忧。
tong'ren'zhi'gu 同人之蛊：龙渴求饮，黑云影从；河伯奉觞，跪进酒浆。流潦滂滂。
tong'ren'zhi'lin 同人之临：出门逢患，与福为怨；更相击刺，伤我手端。
tong'ren'zhi'guan 同人之观：播天舞地，神明所守，安乐无咎。
tong'ren'zhi'ke'shi 同人之噬嗑：两金相击，勇气钧敌；终日大战，不破不缺。
tong'ren'zhi'ben 同人之贲：车虽驾，两紖绝；马奔出，双轮脱；行不至，道遇害。
tong'ren'zhi'bo 同人之剥：文山紫芝，雍梁朱草；长生和气，王以为宝；公尸侑食，福禄来处。
tong'ren'zhi'fu 同人之复：把珠入口，为我畜宝；得吾所有，欣然嘉喜。
tong'ren'zhi'wu'wang 同人之无妄：负牛上山，力劣行难；烈风雨雪，遮遏我前；中道复还，忧者得欢。
tong'ren'zhi'da'xu 同人之大畜：陶朱白圭，善贾息资；三致千金，德施上人。
tong'ren'zhi'yi 同人之颐：子锄执麟，《春秋》作元；阴圣将终，尼父悲心。
tong'ren'zhi'da'guo 同人之大过：春日载阳，福履齐长；四时不忒，与乐为昌。
tong'ren'zhi'kan 同人之坎：孔德如玉，出于幽谷；飞上乔木，鼓其羽翼，大光照国。
tong'ren'zhi'li 同人之离：瓯脱康居，慕仁入朝；湛露之欢，三爵毕恩；复归穷庐，以安其居。
tong'ren'zhi'xian 同人之咸：秋冬夜行，照览星辰；道理利通，终身何患？
tong'ren'zhi'heng 同人之恒：鸣鹄抱子，见虵何咎？室家俱在，不失其所。
